"Gene_Order"	"Gene_EntrezID"	"N_HitLists"	"DE_Prior_Rank"	"Gene_Name"
"474"	151887	65	0.975302524514918	"CCDC80"
"475"	4616	49	0.975302524514918	"GADD45B"
"476"	4316	45	0.975224285416232	"MMP7"
"477"	57451	48	0.975146046317546	"TENM2"
"478"	1903	58	0.975146046317546	"S1PR3"
"479"	3001	42	0.975067807218861	"GZMA"
"480"	84267	32	0.975015647819737	"C9orf64"
"481"	6414	61	0.974963488420613	"SELENOP"
"482"	1300	45	0.97491132902149	"COL10A1"
"483"	83879	62	0.974859169622366	"CDCA7"
"484"	79979	10	0.97478093052368	"TRMT2B"
"485"	1524	46	0.97478093052368	"CX3CR1"
"486"	2634	49	0.974702691424995	"GBP2"
"487"	25907	52	0.974624452326309	"TMEM158"
"488"	6515	60	0.974624452326309	"SLC2A3"
"489"	1580	41	0.974546213227624	"CYP4B1"
"490"	79191	43	0.974467974128938	"IRX3"
"491"	55273	64	0.974467974128938	"TMEM100"
"492"	658	44	0.974389735030253	"BMPR1B"
"493"	257194	57	0.974285416232005	"NEGR1"
"494"	84707	55	0.974285416232005	"BEX2"
"495"	9760	50	0.974285416232005	"TOX"
"496"	650	62	0.974181097433758	"BMP2"
"497"	388	51	0.974128938034634	"RHOB"
"498"	800	66	0.97407677863551	"CALD1"
"499"	51348	36	0.973972459837263	"KLRF1"
"500"	4232	65	0.973972459837263	"MEST"
"501"	2123	54	0.973972459837263	"EVI2A"
"502"	8835	66	0.973868141039015	"SOCS2"
"503"	6518	45	0.973815981639891	"SLC2A5"
"504"	6648	42	0.973763822240768	"SOD2"
"505"	1824	59	0.973711662841644	"DSC2"
"506"	58475	59	0.97365950344252	"MS4A7"
"507"	53831	42	0.973607344043397	"GPR84"
"508"	7422	46	0.973555184644273	"VEGFA"
"509"	28231	47	0.973503025245149	"SLCO4A1"
"510"	23643	68	0.973424786146464	"LY96"
"511"	8840	50	0.973424786146464	"WISP1"
"512"	4199	54	0.973346547047778	"ME1"
"513"	730	50	0.973294387648654	"C7"
"514"	26298	71	0.973216148549969	"EHF"
"515"	7076	59	0.973216148549969	"TIMP1"
"516"	3426	64	0.973137909451283	"CFI"
"517"	159296	17	0.973085750052159	"NKX2-3"
"518"	9358	54	0.973007510953474	"ITGBL1"
"519"	3428	52	0.973007510953474	"IFI16"
"520"	7345	56	0.972929271854788	"UCHL1"
"521"	8613	60	0.972851032756103	"PLPP3"
"522"	4072	73	0.972851032756103	"EPCAM"
"523"	2669	60	0.972772793657417	"GEM"
"524"	2034	60	0.972720634258293	"EPAS1"
"525"	1117	35	0.97266847485917	"CHI3L2"
"526"	79993	65	0.972590235760484	"ELOVL7"
"527"	716	75	0.972590235760484	"C1S"
"528"	4082	57	0.972485916962237	"MARCKS"
"529"	1290	65	0.972485916962237	"COL5A2"
"530"	54843	63	0.972381598163989	"SYTL2"
"531"	6664	50	0.972381598163989	"SOX11"
"532"	100113407	47	0.972277279365742	"TMEM170B"
"533"	11013	56	0.972277279365742	"TMSB15A"
"534"	56603	30	0.972172960567494	"CYP26B1"
"535"	8671	65	0.972172960567494	"SLC4A4"
"536"	57126	32	0.972094721468809	"CD177"
"537"	53335	68	0.972042562069685	"BCL11A"
"538"	4314	48	0.971964322970999	"MMP3"
"539"	72	50	0.971964322970999	"ACTG2"
"540"	140597	49	0.971860004172752	"TCEAL2"
"541"	7903	63	0.971860004172752	"ST8SIA4"
"542"	9645	55	0.971781765074066	"MICAL2"
"543"	54504	69	0.971703525975381	"CPVL"
"544"	9133	55	0.971703525975381	"CCNB2"
"545"	730755	38	0.971573127477571	"KRTAP2-3"
"546"	718	65	0.971573127477571	"C3"
"547"	332	58	0.971573127477571	"BIRC5"
"548"	6036	32	0.9714166492802	"RNASE2"
"549"	3694	50	0.9714166492802	"ITGB6"
"550"	3399	50	0.9714166492802	"ID3"
"551"	6355	34	0.971312330481953	"CCL8"
"552"	1490	60	0.971260171082829	"CTGF"
"553"	633	55	0.971208011683705	"BGN"
"554"	285386	28	0.971155852284582	"TPRG1"
"555"	204962	36	0.971103692885458	"SLC44A5"
"556"	9120	56	0.971025453786772	"SLC16A6"
"557"	301	58	0.971025453786772	"ANXA1"
"558"	83857	69	0.970947214688087	"TMTC1"
"559"	1030	59	0.970895055288963	"CDKN2B"
